"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"1435113_x_at"	14.32039376	14.3066816285714	239.907050315412	9.92045355253217e-38	1.27518499894035e-33	60.4998687604465
"1450149_a_at"	13.8024874245455	13.83228086	236.955238654306	1.28795203085382e-37	1.27518499894035e-33	60.4510039909629
"1456196_x_at"	13.0009450945455	13.0061285390476	234.646595630917	1.5832664326495e-37	1.27518499894035e-33	60.4116523572406
"1424562_a_at"	13.9098511554545	13.9384277595238	229.806910712638	2.45694356228554e-37	1.27518499894035e-33	60.3257661930344
"1416829_at"	14.0577039	14.1114120995238	229.725580658708	2.47534896818101e-37	1.27518499894035e-33	60.3242822496481
"AFFX-MURINE_B2_at"	15.3211178009091	15.328984562381	229.092327262856	2.62369180823813e-37	1.27518499894035e-33	60.3126807353069
"1455069_x_at"	13.9506802409091	13.9597463847619	228.85231793294	2.68232297720081e-37	1.27518499894035e-33	60.3082616768474
"1416392_a_at"	13.8802812063636	13.8840190542857	228.270405528437	2.83024635873797e-37	1.27518499894035e-33	60.2974969955518
"1417417_a_at"	14.4588628063636	14.4765182390476	227.65320079218	2.99651401969913e-37	1.27518499894035e-33	60.2860007578002
"1422241_a_at"	13.69491222	13.7304411547619	226.957805172503	3.19616930300344e-37	1.27518499894035e-33	60.2729501513215
"1415970_at"	13.8355196109091	13.8513633957143	226.943090764888	3.20054148262115e-37	1.27518499894035e-33	60.2726728747784
"1416300_a_at"	14.1065354381818	14.1227985228571	226.026763060291	3.48554468353731e-37	1.27518499894035e-33	60.2553127951043
"1451086_s_at"	13.7679071572727	13.7789836614286	225.458270089909	3.67561805419492e-37	1.27518499894035e-33	60.2444499267506
"1415929_at"	12.6498550136364	12.6927568266667	223.699946619717	4.3353341953794e-37	1.37450580023445e-33	60.2103953673662
"1452143_at"	13.5893353836364	13.6362856233333	222.29544791734	4.95101162671112e-37	1.37450580023445e-33	60.1826889186374
"1416971_at"	13.5207068981818	13.5451604090476	221.901710896738	5.13957110585158e-37	1.37450580023445e-33	60.1748398195382
"1448112_at"	13.3874815927273	13.4105087280952	221.1462435094	5.52273142249115e-37	1.37450580023445e-33	60.1596779783122
"1438991_x_at"	14.1275008672727	14.1326300780952	220.690313867565	5.76834557041976e-37	1.37450580023445e-33	60.1504624871788
"1436292_a_at"	13.8449418518182	13.8588422790476	220.650242598408	5.79047254039924e-37	1.37450580023445e-33	60.1496501837138
"1454661_at"	14.2593074927273	14.2956246795238	218.404466929096	7.18433963452729e-37	1.60956375767489e-33	60.1035064679246
